I,Ticker,Name,Sector,Industry,Avg Hold Period(days),BUY Range,SELL Range,Price Movement,last Price,Total Profit,Avg Volume,Volume Indicator,Beta Risk,Complete Transactions
@_,TRC.L,The Revel Collective Plc,Consumer Cyclical,Restaurants,0.00,0.22 - 0.23,0.25 - 0.28,0.03 - 0.05,0.25,4197.70,1613053,6,2.174,6
*_,TRCS.L,Tracsis plc,Technology,Software Application,0.00,349.00 - 377.50,365.00 - 394.90,16.00 - 45.90,352.50,775.20,65356,3,0.677,3
@_,TRD.L,Triad Group plc,Technology,Information Technology Services,0.25,240.00 - 261.00,265.00 - 285.00,25.00 - 45.00,285.00,1261.00,96241,3,1.431,4
*_,TRI.L,Trifast plc,Industrials,Tools & Accessories,0.29,78.00 - 79.00,79.28 - 81.80,1.28 - 3.80,76.24,1296.48,92588,3,0.741,7
*_,TRIG.L,The Renewables Infrastructure Group Limited,UNKNOWN,UNKNOWN,0.00,81.40 - 81.40,82.62 - 82.62,1.22 - 1.22,78.10,74.42,5788238,7,UNKNOWN,1
@_,TRLS.L,Trellus Health plc,Healthcare,Health Information Services,0.50,0.58 - 0.58,0.73 - 1.52,0.15 - 0.94,0.75,9476.46,2767040,6,2.123,2
*_,TRN.L,Trainline plc,Consumer Cyclical,Travel Services,1.33,263.00 - 268.06,266.00 - 271.13,3.00 - 8.13,266.60,165.54,635009,5,1.386,3
*_,TRST.L,Trustpilot Group plc,Technology,Software Application,0.50,225.20 - 242.80,228.80 - 245.60,3.60 - 20.40,222.80,135.20,1421963,6,0.904,2
@_,TRT.L,Transense Technologies plc,Consumer Cyclical,Auto Parts,1.00,136.31 - 136.31,138.50 - 138.50,2.19 - 2.19,137.00,78.84,3893,1,0.061,1
@_,TRU.L,TruFin plc,Financial Services,Credit Services,0.50,96.60 - 114.63,98.50 - 117.00,1.90 - 20.40,116.00,1201.01,377856,4,0.523,4
@_,TRX.L,Tissue Regenix Group plc,Healthcare,Biotechnology,0.33,28.10 - 30.00,29.75 - 30.50,1.65 - 2.40,29.00,601.25,33495,2,0.889,3
*_,TRY.L,TR Property Ord,Financial Services,Asset Management,2.00,327.38 - 327.38,331.58 - 331.58,4.20 - 4.20,324.26,63.00,568794,5,UNKNOWN,1
@_,TSCO.L,Tesco PLC,Consumer Defensive,Grocery Stores,4.00,407.40 - 407.40,416.00 - 416.00,8.60 - 8.60,413.20,103.20,20450049,8,0.619,1
@_,TST.L,Touchstar plc,Technology,Computer Hardware,0.00,88.00 - 89.00,90.00 - 90.00,2.00 - 2.00,90.00,280.00,4331,1,0.808,3
*_,TSTL.L,Tristel plc,Healthcare,Medical Instruments & Supplies,0.20,359.00 - 376.11,365.50 - 387.00,6.50 - 28.00,360.00,563.94,90418,3,0.24,5
@_,TTE.L,TotalEnergies SE,Energy,Oil & Gas Integrated,3.00,52.26 - 52.31,53.07 - 53.34,0.81 - 1.08,53.53,174.80,1324493,6,0.715,2
@_,TTG.L,TT Electronics plc,Technology,Electronic Components,1.00,89.20 - 95.00,92.20 - 97.20,3.00 - 8.00,96.80,595.72,497263,4,0.804,4
@_,TUN.L,Tungsten West PLC,Basic Materials,Other Industrial Metals & Mining,1.00,8.25 - 8.50,8.75 - 9.50,0.50 - 1.25,8.69,1667.46,550378,5,-0.292,4
*_,TUNE.L,Focusrite plc,Consumer Cyclical,Leisure,0.60,165.10 - 177.00,167.00 - 180.00,1.90 - 14.90,157.50,453.12,77682,3,0.574,5
*_,TW.L,Taylor Wimpey plc,Consumer Cyclical,Residential Construction,1.50,100.05 - 100.57,101.45 - 101.65,1.40 - 1.60,99.87,121.52,23465965,8,1.722,2
@_,TXP.L,Touchstone Exploration Inc.,Energy,Oil & Gas E&P,0.00,12.75 - 13.00,13.49 - 16.36,0.74 - 3.61,14.00,1772.40,898815,5,0.235,3
@_,TYT.L,Toyota Motor Corporation,Consumer Cyclical,Auto Manufacturers,4.00,2773.00 - 2773.00,2855.00 - 2855.00,82.00 - 82.00,2854.00,82.00,290981,4,0.239,1
@_,UEM.L,Utilico Emerging Markets Ord,Financial Services,Asset Management,1.00,243.75 - 250.00,249.00 - 253.00,5.25 - 9.25,249.00,239.80,247770,4,0.398,3
@_,UFO.L,Alien Metals Limited,Basic Materials,Other Precious Metals & Mining,6.00,0.11 - 0.11,0.15 - 0.15,0.04 - 0.04,0.13,1818.16,118041263,10,-0.105,1
@_,UJO.L,Union Jack Oil plc,Energy,Oil & Gas E&P,0.67,4.90 - 5.00,5.00 - 5.18,0.10 - 0.28,5.20,766.89,477242,4,0.463,6
@_,UKR.L,Ukrproduct Group Limited,Consumer Defensive,Packaged Foods,2.00,5.25 - 5.25,7.00 - 7.00,1.75 - 1.75,5.50,1666.00,5132,1,1.02,1
*_,UKW.L,Greencoat UK Wind,Utilities,Utilities Renewable,2.50,114.74 - 116.00,116.20 - 118.60,1.46 - 3.86,114.63,174.58,3499682,6,UNKNOWN,2
@_,ULTP.L,Ultimate Products Plc,Consumer Cyclical,Furnishings  Fixtures & Appliances,1.17,54.60 - 58.38,57.00 - 59.38,2.40 - 4.78,60.00,842.57,193589,3,0.725,6
*_,ULVR.L,Unilever PLC,Consumer Defensive,Household & Personal Products,3.00,4492.00 - 4499.00,4556.00 - 4581.00,64.00 - 89.00,4490.00,146.00,2946892,6,0.205,2
@_,UOG.L,United Oil & Gas Plc,Energy,Oil & Gas E&P,1.00,0.15 - 0.16,0.17 - 0.18,0.02 - 0.03,0.17,2596.90,15331010,8,1.251,4
@_,UPL.L,Upland Resources Limited,Energy,Oil & Gas E&P,0.00,1.00 - 1.03,1.05 - 1.10,0.04 - 0.09,1.10,1818.73,3066527,6,1.76,9
@_,UPR.L,Uniphar plc,Healthcare,Medical Distribution,0.50,332.00 - 340.00,342.00 - 348.00,10.00 - 16.00,342.00,432.64,12589,2,0.924,4
*_,URU.L,URU Metals Limited,Basic Materials,Other Industrial Metals & Mining,0.80,3.62 - 4.64,3.75 - 4.95,0.12 - 1.32,3.75,2681.53,246303,4,-0.097,5
*_,USA.L,Baillie Gifford US Growth Ord,Financial Services,Asset Management,1.00,268.50 - 268.50,274.50 - 274.50,6.00 - 6.00,264.05,108.00,494999,4,UNKNOWN,1
*_,UU.L,United Utilities Group PLC,Utilities,Utilities Regulated Water,0.50,1119.50 - 1149.50,1137.00 - 1162.00,17.50 - 42.50,1137.00,120.00,2690742,6,0.413,2
*_,VAL.L,ValiRx plc,Healthcare,Biotechnology,0.00,0.55 - 0.56,0.65 - 0.65,0.10 - 0.10,0.52,1719.81,2051602,6,-0.484,2
*_,VALT.L,Valterra Platinum Limited,Basic Materials,Other Precious Metals & Mining,1.00,3521.00 - 3600.00,3580.00 - 3692.00,59.00 - 171.00,3593.70,431.00,322600,4,0.856,5
@_,VANL.L,Van Elle Holdings plc,Industrials,Engineering & Construction,0.71,39.06 - 41.00,40.96 - 42.00,1.90 - 2.94,41.00,940.94,92692,3,0.639,7
@_,VANQ.L,Vanquis Banking Group plc,Financial Services,Banks Regional,0.67,103.60 - 111.82,113.42 - 122.80,9.82 - 19.20,113.40,1161.40,1461471,6,1.505,3
@_,VAST.L,Vast Resources plc,Basic Materials,Other Industrial Metals & Mining,1.00,0.34 - 0.35,0.35 - 0.36,0.01 - 0.02,0.35,856.53,38542053,8,3.011,6
*_,VCP.L,Victoria PLC,Consumer Cyclical,Furnishings  Fixtures & Appliances,1.00,86.00 - 89.76,91.00 - 91.17,5.00 - 5.17,78.60,368.06,540599,5,0.727,2
@_,VCT.L,Victrex plc,Basic Materials,Specialty Chemicals,1.33,677.00 - 681.60,689.00 - 704.00,12.00 - 27.00,693.00,303.80,85834,3,0.649,3
@_,VEIL.L,Vietnam Enterprise Ord,Financial Services,Asset Management,3.50,711.00 - 711.50,722.00 - 725.15,11.00 - 14.15,725.93,172.55,239411,4,UNKNOWN,2
@_,VEL.L,Velocity Composites plc,Industrials,Aerospace & Defense,1.25,23.00 - 23.50,23.90 - 24.00,0.90 - 1.00,23.50,580.52,43790,2,1.22,4
*_,VIC.L,Victorian Plumbing Group plc,Consumer Cyclical,Home Improvement Retail,0.50,68.36 - 70.60,69.64 - 71.50,1.28 - 3.14,66.38,417.44,179105,3,0.894,4
@_,VID.L,Videndum Plc,Technology,Consumer Electronics,0.67,44.40 - 50.00,50.32 - 55.00,5.92 - 10.60,51.00,1822.24,635532,5,0.585,3
@_,VINO.L,Virgin Wines UK PLC,Consumer Defensive,Beverages Wineries & Distilleries,0.50,63.00 - 71.50,64.51 - 79.80,1.51 - 16.80,74.50,1418.99,138907,3,1.187,4
*_,VIP.L,Value and Indexed Property Income Ord,Financial Services,Asset Management,0.50,210.00 - 213.00,215.00 - 216.69,5.00 - 6.69,209.00,199.87,47114,2,UNKNOWN,2
*_,VLE.L,Volvere plc,Consumer Defensive,Packaged Foods,3.00,2080.00 - 2081.50,2127.00 - 2144.00,47.00 - 64.00,2080.00,219.00,772,1,0.498,2
*_,VLG.L,Venture Life Group plc,Consumer Defensive,Household & Personal Products,1.00,60.31 - 64.05,62.76 - 64.70,2.45 - 4.39,58.00,251.60,269422,4,0.24,2
*_,VLX.L,Volex plc,Industrials,Electrical Equipment & Parts,1.33,358.43 - 359.50,365.00 - 373.34,6.57 - 14.91,357.94,401.83,292114,4,0.962,3
@_,VNET.L,Vianet Group plc,Industrials,Specialty Business Services,0.00,82.50 - 82.60,83.50 - 83.50,1.00 - 1.00,83.50,114.00,2937,1,0.842,2
@_,VNH.L,VietNam Holding Ord,Financial Services,Asset Management,1.00,383.00 - 397.19,387.25 - 402.80,4.25 - 19.80,400.00,416.09,52949,3,UNKNOWN,5
@_,VOD.L,Vodafone Group Public Limited Company,Communication Services,Telecom Services,1.00,82.76 - 84.80,85.00 - 86.02,2.24 - 3.26,86.26,326.70,51414340,9,0.431,3
@_,VOF.L,VinaCapital Vietnam Opp Fund Ord,Financial Services,Asset Management,4.00,474.67 - 479.28,482.00 - 491.00,7.33 - 16.33,489.00,190.50,151422,3,UNKNOWN,2
*_,VP.L,Vp plc,Industrials,Rental & Leasing Services,0.83,580.00 - 602.00,601.34 - 616.00,21.34 - 36.00,594.00,678.08,20825,2,0.558,6
@_,VRCI.L,Verici Dx plc,Healthcare,Diagnostics & Research,1.75,0.50 - 0.50,0.55 - 0.55,0.05 - 0.05,0.52,1998.20,1435730,6,1.534,4
@_,VSL.L,VPC Specialty Lending Investments PLC,UNKNOWN,UNKNOWN,1.00,15.44 - 16.04,15.65 - 16.48,0.21 - 1.04,16.45,644.46,1951473,6,UNKNOWN,5
*_,VSVS.L,Vesuvius plc,Basic Materials,Steel,0.75,353.40 - 359.80,360.20 - 368.60,6.80 - 15.20,356.80,469.00,249269,4,1.065,4
*_,VTU.L,Vertu Motors plc,Consumer Cyclical,Auto & Truck Dealerships,1.00,59.90 - 61.20,60.53 - 62.20,0.63 - 2.30,60.70,384.78,275761,4,0.725,4
@_,VTY.L,Vistry Group PLC,Consumer Cyclical,Residential Construction,1.25,612.40 - 626.40,625.80 - 635.40,13.40 - 23.00,635.62,435.80,878470,5,2.042,4
*_,W7L.L,Warpaint London PLC,Consumer Defensive,Household & Personal Products,0.00,350.00 - 353.75,354.90 - 360.00,4.90 - 10.00,311.25,253.40,296903,4,0.098,3
@_,WATR.L,Water Intelligence plc,Industrials,Specialty Business Services,0.62,300.00 - 315.00,314.00 - 320.00,14.00 - 20.00,316.00,1377.40,19800,2,0.57,8
@_,WCW.L,Walker Crips Group plc,Financial Services,Asset Management,0.75,10.50 - 10.50,11.00 - 11.00,0.50 - 0.50,10.50,952.00,31399,2,0.145,4
*_,WEIR.L,The Weir Group PLC,Industrials,Specialty Industrial Machinery,0.50,2466.00 - 2480.00,2492.00 - 2506.00,26.00 - 40.00,2438.00,104.00,682438,5,1.025,2
*_,WIL.L,Wilmington plc,Consumer Defensive,Education & Training Services,0.29,334.00 - 345.00,345.56 - 358.00,11.56 - 24.00,344.14,960.26,21137,2,0.331,7
@_,WINE.L,Naked Wines plc,Consumer Defensive,Beverages Wineries & Distilleries,0.67,74.60 - 78.20,75.53 - 81.00,0.93 - 6.40,80.20,872.22,281589,4,1.538,6
*_,WINK.L,M Winkworth PLC,Real Estate,Real Estate Services,1.50,195.10 - 207.50,204.80 - 210.00,9.70 - 14.90,200.00,614.90,1647,1,0.548,4
@_,WISE.L,Wise plc,Technology,Information Technology Services,0.33,1012.00 - 1043.00,1057.00 - 1062.00,45.00 - 50.00,1050.00,372.00,1182107,6,0.62,3
*_,WIX.L,Wickes Group plc,Consumer Cyclical,Home Improvement Retail,0.00,217.50 - 217.50,220.00 - 220.00,2.50 - 2.50,215.15,55.00,425948,4,0.916,1
@_,WIZZ.L,Wizz Air Holdings Plc,Industrials,Airlines,0.75,1325.68 - 1378.65,1357.60 - 1418.11,31.92 - 92.43,1400.70,493.14,925149,5,2.095,4
*_,WJG.L,Watkin Jones Plc,Consumer Cyclical,Residential Construction,0.71,27.05 - 28.29,27.69 - 28.95,0.64 - 1.90,27.85,779.45,808793,5,1.481,7
@_,WKOF.L,Weiss Korea Opportunity Ord,Financial Services,Asset Management,2.00,149.00 - 149.00,152.00 - 154.00,3.00 - 5.00,149.00,363.00,5428,1,UNKNOWN,3
@_,WKP.L,Workspace Group Plc,Real Estate,REIT Office,2.50,409.50 - 417.00,423.50 - 429.00,14.00 - 19.50,422.00,305.50,453878,4,0.95,2
*_,WKS.L,Winking Studios Limited,Communication Services,Electronic Gaming & Multimedia,1.00,13.50 - 15.55,14.00 - 16.48,0.50 - 2.98,14.25,1629.53,129062,3,UNKNOWN,5
@_,WOSG.L,Watches of Switzerland Group PLC,Consumer Cyclical,Luxury Goods,0.00,323.40 - 323.40,328.26 - 328.26,4.86 - 4.86,323.40,72.90,883017,5,1.875,1
@_,WPHO.L,Windar Photonics PLC,Technology,Electronic Components,0.80,52.25 - 57.47,54.75 - 59.96,2.50 - 7.71,58.45,1203.76,195313,3,1.331,5
*_,WPP.L,WPP plc,Communication Services,Advertising Agencies,1.67,365.90 - 386.60,374.00 - 395.50,8.10 - 29.60,375.00,297.90,5357925,7,0.815,3
@_,WPS.L,W.A.G payment solutions plc,Technology,Software Infrastructure,0.00,81.20 - 86.60,83.40 - 89.64,2.20 - 8.44,90.00,653.48,332379,4,0.211,4
@_,WRKS.L,TheWorks.co.uk plc,Consumer Cyclical,Specialty Retail,0.29,46.00 - 53.00,48.80 - 54.22,2.80 - 8.22,52.75,1673.51,306989,4,1.234,7
@_,WSBN.L,Wishbone Gold Plc,Basic Materials,Gold,0.00,0.34 - 0.36,0.37 - 0.38,0.03 - 0.04,0.37,1008.73,74736482,9,1.499,3
*_,WSG.L,Westminster Group PLC,Industrials,Security & Protection Services,0.33,1.90 - 2.00,2.10 - 2.15,0.20 - 0.25,1.90,1336.23,465729,4,1.063,3
@_,WSP.L,Wynnstay Properties Plc,Real Estate,Real Estate Diversified,0.00,757.50 - 760.00,775.00 - 775.00,17.50 - 17.50,775.00,195.00,143,1,0.1,2
@_,WTB.L,Whitbread plc,Consumer Cyclical,Lodging,2.00,3024.51 - 3028.00,3084.00 - 3111.00,59.49 - 86.49,3110.00,142.49,633164,5,1.092,2
*_,WTE.L,Westmount Energy Limited,Energy,Oil & Gas E&P,0.00,1.93 - 2.10,2.20 - 2.51,0.27 - 0.58,1.70,2855.20,10730515,8,-0.121,4
@_,WWH.L,Worldwide Healthcare Ord,Financial Services,Asset Management,2.00,307.69 - 307.69,321.50 - 321.50,13.81 - 13.81,322.00,220.96,2044393,6,UNKNOWN,1
*_,WYN.L,Wynnstay Group Plc,Basic Materials,Agricultural Inputs,0.40,355.00 - 365.25,358.90 - 370.00,3.90 - 15.00,365.00,586.35,25469,2,0.285,5
*_,XAR.L,Xaar plc,Technology,Computer Hardware,0.75,112.00 - 121.75,113.50 - 123.33,1.50 - 11.33,113.00,313.81,80531,3,0.835,4
*_,XPF.L,XP Factory Plc,Consumer Cyclical,Leisure,0.33,9.50 - 10.15,9.68 - 11.00,0.18 - 1.50,9.75,659.88,165019,3,1.839,3
*_,XPP.L,XP Power Limited,Industrials,Electrical Equipment & Parts,0.50,935.00 - 971.25,947.00 - 996.56,12.00 - 61.56,930.00,527.30,64313,3,1.456,6
*_,XPS.L,XPS Pensions Group plc,Consumer Cyclical,Personal Services,2.00,374.00 - 378.50,382.50 - 387.50,8.50 - 13.50,366.50,227.50,333604,4,0.337,2
@_,XSG.L,Xeros Technology Group plc,Industrials,Specialty Industrial Machinery,0.00,1.22 - 1.24,1.30 - 1.37,0.08 - 0.15,1.30,1339.84,400702,4,1.983,4
@_,XTR.L,Xtract Resources Plc,Basic Materials,Gold,0.00,0.62 - 0.62,0.65 - 0.70,0.03 - 0.08,0.65,2514.70,483490,4,-0.282,8
*_,YCA.L,Yellow Cake plc,Energy,Uranium,0.00,495.60 - 507.50,506.00 - 514.50,10.40 - 18.90,497.60,167.00,591541,5,0.336,2
*_,YNGA.L,Young & Co.'s Brewery  P.L.C.,Consumer Cyclical,Restaurants,1.33,857.00 - 872.00,870.00 - 883.00,13.00 - 26.00,846.00,195.60,50766,3,1.38,3
*_,YNGN.L,Young & Co.'s Brewery  P.L.C.,Consumer Cyclical,Restaurants,1.00,585.30 - 596.68,594.37 - 610.00,9.07 - 24.70,586.00,239.92,25126,2,1.38,3
*_,YOU.L,YouGov plc,Industrials,Consulting Services,1.00,338.75 - 352.50,348.00 - 359.44,9.25 - 20.69,333.50,226.66,647112,5,1.213,2
@_,YU.L,Yü Group PLC,Utilities,Utilities Diversified,0.33,1455.00 - 1476.00,1500.00 - 1538.00,45.00 - 83.00,1525.00,411.00,22974,2,0.723,3
@_,ZAM.L,Zambeef Products PLC,Consumer Defensive,Packaged Foods,1.00,3.85 - 3.85,4.06 - 4.06,0.21 - 0.21,3.85,272.58,12867,2,-0.351,1
@_,ZED.L,Zenova Group Plc,Basic Materials,Specialty Chemicals,0.00,0.22 - 0.22,0.23 - 0.23,0.01 - 0.01,0.23,681.81,509911,5,-0.479,3
@_,ZEG.L,Zegona Communications plc,Communication Services,Telecom Services,0.75,974.00 - 1050.00,1004.75 - 1095.00,30.75 - 121.00,1090.00,833.75,441863,4,2.974,4
@_,ZEN.L,Zenith Energy Ltd.,Energy,Oil & Gas E&P,0.43,3.21 - 3.95,3.55 - 4.31,0.34 - 1.10,4.05,2575.96,403326,4,0.95,7
*_,ZIG.L,Zigup Plc,Industrials,Rental & Leasing Services,1.33,333.00 - 342.00,336.50 - 346.00,3.50 - 13.00,341.50,241.50,615197,5,1.414,3
*_,ZIN.L,Zinc Media Group plc,Communication Services,Entertainment,0.00,70.12 - 70.12,71.00 - 71.00,0.88 - 0.88,69.00,62.48,1672,1,-0.312,1
*_,ZIOC.L,Zanaga Iron Ore Company Limited,Basic Materials,Steel,0.17,7.50 - 7.89,7.61 - 8.48,0.11 - 0.98,7.32,995.21,289740,4,2.247,6
*_,ZNWD.L,Zinnwald Lithium Plc,Basic Materials,Other Industrial Metals & Mining,0.67,4.80 - 5.07,4.95 - 5.20,0.15 - 0.40,4.80,887.45,361474,4,0.401,6
@_,ZOO.L,ZOO Digital Group plc,Technology,Software Application,0.00,12.60 - 12.62,13.50 - 14.65,0.90 - 2.05,14.40,1160.28,271945,4,0.886,2
@_,ZPHR.L,Zephyr Energy plc,Energy,Oil & Gas E&P,0.00,2.70 - 2.83,2.83 - 2.90,0.12 - 0.20,2.85,1335.09,3169769,6,0.478,9
@_,ZTF.L,Zotefoams plc,Basic Materials,Specialty Chemicals,0.62,342.10 - 411.00,360.99 - 424.78,18.89 - 82.68,424.78,1596.08,355386,4,0.785,8
